n,positive,tp,fp,tn,fn,brier,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,model,target,seed,n_mothers
554,66,60,422,66,6,,0.9090909090909091,0.13524590163934427,0.12448132780082988,0.9166666666666666,0.218978102189781,0.13454546783955434,0.5393380526577248,rule_signedZ,label,2026,147
554,66,58,424,64,8,,0.8787878787878788,0.13114754098360656,0.12033195020746888,0.8888888888888888,0.2116788321167883,0.13454546783955434,0.5393380526577248,rule_signedZ,label,2027,147
554,66,58,413,75,8,,0.8787878787878788,0.15368852459016394,0.12314225053078556,0.9036144578313253,0.21601489757914336,0.13454546783955434,0.5393380526577248,rule_signedZ,label,2028,147
554,66,59,424,64,7,,0.8939393939393939,0.13114754098360656,0.12215320910973085,0.9014084507042254,0.21493624772313294,0.13454546783955434,0.5393380526577248,rule_signedZ,label,2029,147
554,66,58,420,68,8,,0.8787878787878788,0.13934426229508196,0.12133891213389121,0.8947368421052632,0.21323529411764708,0.13454546783955434,0.5393380526577248,rule_signedZ,label,2030,147
554,66,59,425,63,7,,0.8939393939393939,0.1290983606557377,0.12190082644628099,0.9,0.21454545454545454,0.135534672048447,0.5131023348236463,rule_absZ,label,2026,147
554,66,59,426,62,7,,0.8939393939393939,0.12704918032786885,0.12164948453608247,0.8985507246376812,0.21415607985480944,0.135534672048447,0.5131023348236463,rule_absZ,label,2027,147
554,66,58,423,65,8,,0.8787878787878788,0.13319672131147542,0.12058212058212059,0.8904109589041096,0.2120658135283364,0.135534672048447,0.5131023348236463,rule_absZ,label,2028,147
554,66,58,423,65,8,,0.8787878787878788,0.13319672131147542,0.12058212058212059,0.8904109589041096,0.2120658135283364,0.135534672048447,0.5131023348236463,rule_absZ,label,2029,147
554,66,59,425,63,7,,0.8939393939393939,0.1290983606557377,0.12190082644628099,0.9,0.21454545454545454,0.135534672048447,0.5131023348236463,rule_absZ,label,2030,147
554,66,56,386,102,10,0.10546026916011521,0.8484848484848485,0.20901639344262296,0.12669683257918551,0.9107142857142857,0.2204724409448819,0.13190801898882198,0.54300173869846,logit_z,label,2026,147
554,66,55,393,95,11,0.10533570405365399,0.8333333333333334,0.19467213114754098,0.12276785714285714,0.8962264150943396,0.2140077821011673,0.13270544774666748,0.5434985096870343,logit_z,label,2027,147
554,66,56,382,106,10,0.1053643192514686,0.8484848484848485,0.21721311475409835,0.1278538812785388,0.9137931034482759,0.2222222222222222,0.1354034592071721,0.534121957277695,logit_z,label,2028,147
554,66,57,398,90,9,0.1063410671282773,0.8636363636363636,0.18442622950819673,0.12527472527472527,0.9090909090909091,0.21880998080614203,0.12051377172694469,0.5049987580725285,logit_z,label,2029,147
554,66,55,394,94,11,0.10726939633347977,0.8333333333333334,0.19262295081967212,0.12249443207126949,0.8952380952380953,0.21359223300970873,0.10905107813878653,0.4783594138102335,logit_z,label,2030,147
