n,positive,tp,fp,tn,fn,brier,sensitivity,specificity,ppv,npv,f1,pr_auc,roc_auc,subtype,model,seed,n_positive_events
554,22,20,499,33,2,,0.9090909090909091,0.06203007518796992,0.038535645472061654,0.9428571428571428,0.07393715341959334,0.04324135130393314,0.42754613807245384,T13,rule_z_own,2026,22
554,22,17,243,289,5,0.03463479014510057,0.7727272727272727,0.543233082706767,0.06538461538461539,0.9829931972789115,0.12056737588652483,0.2846117014383341,0.7495727956254272,T13,logit_z_quality,2026,22
554,22,14,178,354,8,0.03587457122418113,0.6363636363636364,0.6654135338345865,0.07291666666666667,0.9779005524861878,0.13084112149532712,0.25953604558851023,0.7305194805194805,T13,logit_all,2026,22
554,22,19,327,205,3,0.0494395922820408,0.8636363636363636,0.38533834586466165,0.05491329479768786,0.9855769230769231,0.10326086956521739,0.18802542528295763,0.7324846206425154,T13,overall_logit_z_quality,2026,22
554,22,19,494,38,3,,0.8636363636363636,0.07142857142857142,0.037037037037037035,0.926829268292683,0.07102803738317756,0.04324135130393314,0.42754613807245384,T13,rule_z_own,2027,22
554,22,18,271,261,4,0.03212613878315389,0.8181818181818182,0.4906015037593985,0.06228373702422145,0.9849056603773585,0.1157556270096463,0.34405621893047933,0.8015208475734791,T13,logit_z_quality,2027,22
554,22,15,188,344,7,0.03350435595352839,0.6818181818181818,0.6466165413533834,0.07389162561576355,0.98005698005698,0.13333333333333333,0.2863760792427464,0.7925495557074504,T13,logit_all,2027,22
554,22,21,322,210,1,0.04597462278541462,0.9545454545454546,0.39473684210526316,0.061224489795918366,0.995260663507109,0.11506849315068492,0.27338728865212697,0.8163875598086124,T13,overall_logit_z_quality,2027,22
554,22,20,496,36,2,,0.9090909090909091,0.06766917293233082,0.03875968992248062,0.9473684210526315,0.07434944237918216,0.04324135130393314,0.42754613807245384,T13,rule_z_own,2028,22
554,22,16,242,290,6,0.036100768440568545,0.7272727272727273,0.5451127819548872,0.06201550387596899,0.9797297297297297,0.11428571428571428,0.2113443432584538,0.7574333561175667,T13,logit_z_quality,2028,22
554,22,14,167,365,8,0.039415091937490626,0.6363636363636364,0.6860902255639098,0.07734806629834254,0.9785522788203753,0.13793103448275862,0.14526577389282014,0.7265037593984962,T13,logit_all,2028,22
554,22,20,339,193,2,0.04921064935558771,0.9090909090909091,0.36278195488721804,0.055710306406685235,0.9897435897435898,0.10498687664041995,0.19133335915562585,0.7441045796308954,T13,overall_logit_z_quality,2028,22
554,22,19,495,37,3,,0.8636363636363636,0.06954887218045112,0.03696498054474708,0.925,0.07089552238805971,0.04324135130393314,0.42754613807245384,T13,rule_z_own,2029,22
554,22,17,230,302,5,0.03236553594656658,0.7727272727272727,0.5676691729323309,0.06882591093117409,0.9837133550488599,0.12639405204460966,0.32931799459620736,0.8023752563226247,T13,logit_z_quality,2029,22
554,22,14,161,371,8,0.032927832524083024,0.6363636363636364,0.6973684210526315,0.08,0.978891820580475,0.14213197969543148,0.3142448473275222,0.788961038961039,T13,logit_all,2029,22
554,22,19,321,211,3,0.0488199873503084,0.8636363636363636,0.3966165413533835,0.05588235294117647,0.985981308411215,0.10497237569060773,0.21445889190759804,0.7412850307587149,T13,overall_logit_z_quality,2029,22
554,22,19,497,35,3,,0.8636363636363636,0.06578947368421052,0.03682170542635659,0.9210526315789473,0.07063197026022305,0.04324135130393314,0.42754613807245384,T13,rule_z_own,2030,22
